,J,Location,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
12575,149,Nhil,1.0,0.06470963613805077,2,0.6748188405797102,0.5992779783393501,0.5581395348837209
12576,150,Canberra,1.0,0.08554211531568913,2,0.5831671320303151,0.4793650793650794,0.6521739130434783
12577,150,Perth,1.0,1.4783078266557187e-10,2,0.6689419795221843,0.6346483704974271,0.7297297297297297
12578,150,Adelaide,0.2415658919960726,9.543548681286045e-07,2,0.5788055680287382,0.5531914893617021,0.7719298245614035
12579,150,Albury,1.0,0.20886626995498864,2,0.5576748410535877,0.5229885057471264,0.5583333333333333
12580,150,Bendigo,1.0,0.006007038724146417,2,0.576544315129812,0.526615969581749,0.6666666666666666
12581,150,Penrith,1.0,0.0031415767164079123,2,0.5312060065696856,0.4576612903225806,0.7872340425531915
12582,150,Tuggeranong,1.0,7.615002704117843e-05,2,0.5479704797047971,0.5334608030592735,0.74
12583,150,Richmond,1.0,0.0001603328725571863,2,0.5578747628083491,0.5163147792706334,0.7553191489361702
12584,150,SalmonGums,1.0,0.4119035699311493,2,0.6685851318944844,0.6181818181818182,0.37142857142857144
12585,150,PearceRAAF,0.0468936695615362,9.767207544121087e-10,2,0.6719432314410481,0.6345733041575492,0.7640449438202247
12586,150,BadgerysCreek,1.0,0.03250751177108242,2,0.5129079396005846,0.4412878787878788,0.7523809523809524
12587,150,WaggaWagga,1.0,0.08276304362752039,2,0.5316934720908231,0.4608695652173913,0.6862745098039216
12588,150,PerthAirport,1.0,1.9928835058313186e-08,2,0.6651439013248058,0.6353790613718412,0.7032967032967034
12589,150,Moree,1.0,0.09436444649806326,2,0.7843342036553524,0.722753346080306,0.3230769230769231
12590,150,Nuriootpa,0.046655334936469804,0.00043210635335528684,2,0.6193995381062356,0.549469964664311,0.6727272727272727
12591,150,Nhil,1.0,0.008369189126986962,2,0.608499095840868,0.6036363636363636,0.6571428571428571
12592,151,Canberra,1.0,0.000998411237327728,2,0.6371610845295056,0.5786963434022258,0.6036036036036037
12593,151,Perth,0.434097085303331,9.070105140899428e-11,2,0.6860068259385665,0.6552315608919382,0.6964285714285714
12594,151,Adelaide,1.0,7.299985986931882e-06,2,0.6066457117198024,0.5926640926640927,0.6756756756756757
12595,151,Albury,1.0,0.00319439530009683,2,0.5904328018223235,0.5765595463137996,0.5847457627118644
12596,151,Bendigo,1.0,0.09770346792812863,2,0.6357078449053201,0.5885608856088561,0.48484848484848486
12597,151,Penrith,1.0,0.3401192584239521,2,0.6184889723134679,0.478,0.6145833333333334
